-------------------------------------------------------------------------------
		   "Numerical Analysis Algorithms in C" v4.2
-------------------------------------------------------------------------------

NAA v4.2 Sample Output

Euler's Method - Algorithm 5.1

y' = f(t,y) = -y + t + 1

Solving for points on interval [0,1].
y(0) = à = 1
Number of intervals N = 10
Interval number h = 0.1

 t	  w ÷ y
------------------------
 0.00	 1.00000000000
 0.10	 1.00000000000
 0.20	 1.01000000000
 0.30	 1.02900000000
 0.40	 1.05610000000
 0.50	 1.09049000000
 0.60	 1.13144100000
 0.70	 1.17829690000
 0.80	 1.23046721000
 0.90	 1.28742048900
 1.00	 1.34867844010
