-------------------------------------------------------------------------------
		   "Numerical Analysis Algorithms in C" v4.2
-------------------------------------------------------------------------------

NAA v4.2 Sample Output

Milne-Simpson Predictor-Corrector - Algorithm 5.4C

y' = f(t,y) = -y + t + 1

Solving for points on interval [0,1].
y(0) = à = 1
Number of intervals N = 10
Interval number h = 0.1

 t	  w ÷ y
------------------------
 0.00	 1.00000000000
 0.10	 1.00483750000
 0.20	 1.01873090141
 0.30	 1.04081842200
 0.40	 1.07031999706
 0.50	 1.10653070666
 0.60	 1.14881144294
 0.70	 1.19658524186
 0.80	 1.24932867582
 0.90	 1.30656953123
 1.00	 1.36787909379
