-------------------------------------------------------------------------------
		   "Numerical Analysis Algorithms in C" v4.2
-------------------------------------------------------------------------------

NAA v4.2 Sample Output

Poisson Equation Finite-Difference - Algorithm 12.1

λύu(x,t)/λxύ + λύu(x,t)/λyύ = f(x,y)
f(x,y) = x*exp(y)
u(0,y) = 0
u(2,y) = 2*exp(y)
u(x,0) = x
u(x,1) = exp(1)*x

For 0 σ x σ 2 and 0 σ y σ 1.
Number of intervals on [a,b] is n = 6
Number of intervals on [c,d] is m = 5
Tolerance: 1E-010


 i	 j	    x(i)	    y(i)	 w(i,j)
-------------------------------------------------------------
 1	 1	 0.33333333	     0.2	 0.40726462
 1	 2	 0.33333333	     0.4	 0.49748325
 1	 3	 0.33333333	     0.6	 0.60759608
 1	 4	 0.33333333	     0.8	 0.74200707
 2	 1	 0.66666667	     0.2	 0.81452375
 2	 2	 0.66666667	     0.4	 0.99495758
 2	 3	 0.66666667	     0.6	 1.2151832
 2	 4	 0.66666667	     0.8	 1.4840085
 3	 1	       1	     0.2	 1.2217662
 3	 2	       1	     0.4	 1.4924047
 3	 3	       1	     0.6	 1.8227427
 3	 4	       1	     0.8	 2.2259927
 4	 1	 1.3333333	     0.2	 1.6289637
 4	 2	 1.3333333	     0.4	 1.9897783
 4	 3	 1.3333333	     0.6	 2.4302266
 4	 4	 1.3333333	     0.8	 2.9679283
 5	 1	 1.6666667	     0.2	 2.0360423
 5	 2	 1.6666667	     0.4	 2.4869584
 5	 3	 1.6666667	     0.6	 3.0375055
 5	 4	 1.6666667	     0.8	 3.7097241

Required 61 iterations.
